_id,title,capacity,legal_status,prixMin,coordinates.street,coordinates.postcode,coordinates.deptcode,,coordinates.deptname,coordinates.city,coordinates.phone,coordinates.emailContact,coordinates.gestionnaire,coordinates.website
83,EHPAD La maison Bouchacourt,127,Public,1990.4999999999998,95 rue Chevalier-Burtin,01750,01,1,AIN,ST LAURENT SUR SAONE,03 85 39 09 90,contact@mrbouchacourt.fr,M.R. la Maison Bouchacourt Residence Med,
23,EHPAD La rose des vents,94,Privé non lucratif,2110.2000000000003,1289 rue Édouard-Herriot BP 51,01480,01,1,AIN,JASSANS RIOTTIER,04 74 09 53 50,larosedesvents@acppa.fr,ACPPA,http://ehpad-larosedesvents.groupe-acppa.fr/
76,EHPAD Le Chapuis,61,Privé commercial,2503.1999999999998,880 Route de Chapuis Château Chapuis,01400,01,1,AIN,ROMANS,04 74 55 09 59,lechapuis.secretariat@gmail.com,SARL Ain Retraite,http://lesclosdecormaline.fr/
45,EHPAD Le Château de Grex,84,Privé non lucratif,2006.1000000000001,Grande Route GIGNEZ,01420,01,1,AIN,CORBONOD,04 50 56 15 43,grex-accueil@itinova.org,Association Santé et Bien-Être,
18,EHPAD Le Clos Chevalier,70,Privé non lucratif,2207.4,7 rue du Père-Adam,01210,01,1,AIN,ORNEX,04 50 99 11 00,accueil@orsac-lecloschevalier.fr,Association Orsac,http://www.lecloschevalier.fr
116,EHPAD Les Ancolies Peronnas,80,Privé non lucratif,1962.9,131 rue Jean-Monnet,01960,01,1,AIN,PERONNAS,04 74 32 84 00,ancolies@mutain.com,Mutualite Francaise Ain SSAM,
115,EHPAD Les Jardins Médicis,70,Privé commercial,2852.1,271 chemin de Charignin,01300,01,1,AIN,BELLEY,04 79 87 30 70,dir-medicis-belley@domusvi.com,SAS Semillance,http://www.medicisbelley.com/
78,EHPAD Les Jardins du Lac,152,Public,1904.4,50 Rue Paul Painlevé,01130,01,1,AIN,NANTUA,04 74 73 10 01,secretariatdir@ch-hautbugey.fr,CH du Haut Bugey,
74,EHPAD Les Mimosas,48,Privé non lucratif,2090.1,2 Montée de la Paroche,01700,01,1,AIN,ST MAURICE DE BEYNOST,04 37 85 51 51,contact@josephineguillon.fr,Institution Josephine Guillon,https://www.institution-josephine-guillon.fr/
101,EHPAD Les Opalines,30,Privé commercial,2181,139 Allee Jean Brevet,01400,01,1,AIN,NEUVILLE LES DAMES,04 74 55 69 99,opalines-neuville@lesopalines.fr,SGMR,http://www.lesopalines.fr/ehpad-neuville-les-dames/
75,EHPAD Les Opalines Belignieux,80,Privé commercial,2773.2,37 Rue du Professeur Robert Hugonot LE FOLU,01360,01,1,AIN,BELIGNEUX,04 37 40 85 50,opalines-beligneux@lesopalines.fr,SGMR,http://beligneux.lesopalines.fr
117,EHPAD Les Résidences Camille Cornier,80,Privé non lucratif,1829.7,40 allée Hugon,01250,01,1,AIN,CEYZERIAT,04 74 25 04 90,ehpad.ceyzeriat@wanadoo.fr,Association Residences de Ceyzeriat,http://www.ehpad-ceyzeriat.fr
55,EHPAD Les Saulaies,88,Public,1833.3,119 place de l'Église,01990,01,1,AIN,ST TRIVIER SUR MOIGNANS,04 74 55 80 68,direction@ehpadsaulaies.fr,Maison de Retraite St Trivier-M,
52,EHPAD Les Tilleuls,108,Public,1884.6,85 promenade des Tilleuls,01120,01,1,AIN,MONTLUEL,04 72 25 18 18,contact@ehpadmontluel.fr,Maison de Retraite Montluel,http://www.maison-de-retraite-montluel.fr
79,EHPAD Les Tournants des saisons,103,Public,1904.4,1 rue Bellevue,01100,01,1,AIN,OYONNAX,04 74 73 10 01,secretariatdir@ch-hautbugey.fr,CH du Haut Bugey,
86,EHPAD Maison Saint-Joseph,106,Privé non lucratif,1895.6999999999998,108 Rue Thomas Riboud,01250,01,1,AIN,JASSERON,04 74 30 01 77,direction@st-joseph-jasseron.fr,Maison de Retraite St Joseph,http://www.st-joseph-jasseron.fr
102,EHPAD Plein Soleil,66,Public,1635.6000000000001,130 route du Charantonod Saint-Martin,01680,01,1,AIN,LHUIS,04 74 39 85 88,ehpad.pleinsoleil@ehpad-lhuis.fr,Mapa Plein Soleil Lhuis,
106,EHPAD Privé la Pergola,95,Privé commercial,3023.1,32 boulevard Saint-Nicolas,01000,01,1,AIN,BOURG EN BRESSE,04 74 45 38 01,lapergola@emera.fr,SAS Emera Exploitations,http://www.emera.fr
48,EHPAD Résideance l'Albizia,53,Public,1859.7,362 Rue de la Grand Côte,01450,01,1,AIN,CERDON,04 74 39 96 62,mr.cerdon@ehpad-cerdon.fr,Maison de Retraite Cerdon,
91305,EHPAD Résidence Ameyzieu,46,Privé commercial,2859,Rue de la Biganderie Ameyzieu,01510,01,1,AIN,TALISSIEU,04 79 42 39 39,accueil-ameyzieu@groupecolisee.com,Groupe Colisée,https://www.groupecolisee.com/residences/services-ameyzieu/
69,EHPAD Résidence Bon séjour,95,Privé non lucratif,2216.3999999999996,80 avenue Joséphine-Guillon,01700,01,1,AIN,MIRIBEL,04 78 55 75 75,contact@josephineguillon.fr,Institution Joséphine Guillon,https://www.institution-josephine-guillon.fr/
46,EHPAD Résidence Fontelune,84,Public,1827.3,10 rue de la Commune-de-1871,01500,01,1,AIN,AMBERIEU EN BUGEY,04 74 46 14 20,ehpadamberieu@fontelune.fr,Residence Fontelune,http://www.fontelune.fr
50,EHPAD Résidence La Jonquillère,81,Public,1785.6,Rue des Écoliers BP 7,01270,01,1,AIN,COLIGNY,04 74 30 10 56,accueil.coligny@orange.fr,Maison de Retraite - Coligny,
41,EHPAD Résidence Le Crêt de la Neige,83,Public,2093.1,131 Allee des Frenes,01220,01,1,AIN,DIVONNE LES BAINS,04 50 20 12 35,divonne.accueil@ch-paysdegex.fr,CH du Pays de Gex,
125,EHPAD Résidence Les Peupliers,90,Privé commercial,2484.6,2 avenue des Belges,01000,01,1,AIN,BOURG EN BRESSE,04 74 23 85 00,bourg.direction@sofinam.fr,Résidence les Peupliers - Bourg,http://www.peupliers-ehpad.com
73497,EHPAD Résidence Seillon,82,Privé non lucratif,1942.8000000000002,Chemin des Carronnieres,01960,01,1,AIN,PERONNAS,04 74 32 88 00,seillon.repos@lebonrepos.fr,Association le bon repos,http://www.lebonrepos.fr/ehpad-peronnas-ain.htm
58,EHPAD Saint-Vincent,82,Privé non lucratif,2059.7999999999997,83 rue des Narcisses,01200,01,1,AIN,BELLEGARDE SUR VALSERINE,04 50 56 62 25,ehpad.st-vincent.sec@ccass-sbe.org,Association Santé et Bien-Être,
60,EHPAD Soeur Rosalie,85,Privé non lucratif,1809.8999999999999,Rue du Cret d'Eau,01200,01,1,AIN,CONFORT,04 50 56 51 80,rosalie-secretariat@itinova.org,Association Santé et Bien-Être,https://www.itinova.org/etablissement/ehpad-soeur-rosalie-confort-38.html
112,EHPAD Utrillo Saint-Bernard,80,Privé commercial,2910.3,750 Chemin de la Mulati,01600,01,1,AIN,ST BERNARD,04 74 00 17 17,residence.utrillo@wanadoo.fr,SAS Utrillo,
113,EHPAD Villa Adelaide,64,Privé commercial,2515.5,44 Rue du Château d'Eau,01110,01,1,AIN,HAUTEVILLE LOMPNES,04 74 35 36 50,villadelaide@tavonis.fr,SARL Adelaide,http://www.pavonis.fr
124,EHPAD Villa Charlotte,46,Privé commercial,1985.4,Rue du Général Andréa,01100,01,1,AIN,ARBENT,04 74 77 42 42,charlotte-arbent@domusvi.com,SARL Villa Charlotte,https://www.domusvi.com/maisons-de-retraite/villa-charlotte-arbent-3344192
95,EHPAD de Montrevel-en-Bresse,166,Public,1735.5,57 Rue de l'Hopital BP 74,01340,01,1,AIN,MONTREVEL EN BRESSE,04 74 30 82 66,direction@ehpad-montrevel.fr,EHPAD de Montrevel-en-Bresse,
54,EHPAD de Saint-Trivier de Courtes- Résidence docteur Perret,91,Public,1754.4,17 route de Servignat,01560,01,1,AIN,ST TRIVIER DE COURTES,04 74 30 70 44,ehpadtriviercourtes@ehpad01560.fr,M.R. St Trivier-De-Courtes,
57,EHPAD de Villars les Dombes,84,Public,1722.3,37 Rue du Collège,01330,01,1,AIN,VILLARS LES DOMBES,04 74 98 01 04,contact@ehpadvillars.fr,Maison de Retraite Publique de Villars,
82,EHPAD des mille étangs,80,Public,1915.8,Place de l'Hopital,01320,01,1,AIN,CHALAMONT,04 74 61 70 14,mr.chalamont@orange.fr,EHPAD des mille étangs,
31,EHPAD du Centre hospitalier de Hauteville-Lompnes,69,Public,1557.3,,01110,01,1,AIN,HAUTEVILLE LOMPNES,04 74 40 80 00,secret.direction@chph01.fr,CH Public Hauteville,http://www.chph.org
85,EHPAD du Centre hospitalier de Meximieux,44,Public,1762.8,13 Avenue du Docteur Boyer,01800,01,1,AIN,MEXIMIEUX,04 74 61 01 77,hlmeximieux@hopitalmeximieux.org,Centre hospitalier de Meximieux,
80,EHPAD du Centre hospitalier de Pont de Vaux,172,Public,1753.8,Les Nivres BP 55,01190,01,1,AIN,PONT DE VAUX,03 85 30 80 00,hopital@chpv.fr,Centre hospitalier de Pont de Vaux,http://www.ch-pontdevaux.fr
68,EHPAD du Centre hospitalier du Pays de Gex,170,Public,1899.8999999999999,160 rue Marc-Panissod BP 437,01170,01,1,AIN,GEX,04 50 40 38 38,gex.accueil@ch-paysdegex.fr,Centre hospitalier du Pays de Gex,
73483,EHPAD les Hellebores Groissiat,77,Privé non lucratif,2177.4,1 place Louis Saint Cyr,01100,01,1,AIN,GROISSIAT,    ,leshellebores@mutain.com,Mutualité française Ain SSAM,
17667,Foyer-Logement La Corderie Montmerle Saône,22,Public,540.57000000000005,74 rue de Lyon,01090,01,1,AIN,MONTMERLE SUR SAONE,04 74 22 40 66,,SEMCODA Bourg En Bresse,http://www.www.semcoda.com
17699,Foyer-Logement Le triolet,33,Public,417.62,230 rue Anne-Marie-Crollet,01370,01,1,AIN,TREFFORT CUISIAT,04 74 51 32 96,mairie@vonnas.com,CCAS Vonnas,http://www.vonnas.com/social-a-vonnas/foyer-logement-le-triolet/item/54-foyer-logement-triolet.html
17707,Foyer-Logement Les Nivéoles,22,Public,467.02,190 rue Masonod,01110,01,1,AIN,HAUTEVILLE LOMPNES,04 74 40 41 71,ccas@hauteville-lompnes.com,Comite Aide Pers Agees Hauteville,
17695,Foyer-Logement Orange Pouret Saint Trivier de Courtes,38,Public,380.19,303 Rue du Docteur Perret,01560,01,1,AIN,ST TRIVIER DE COURTES,04 74 30 70 32,mairie@stdc.fr,CCAS St Trivier-De-Courtes,http://www.saint-trivier-de-courtes.fr
17653,Foyer-Logement Résidence La fruitière,40,Privé commercial,,2 place Bichat,01450,01,1,AIN,PONCIN,04 74 37 32 87,,SEMCODA Bourg En Bresse,
17703,Foyer-Logement Résidence Le cèdre,102,Privé non lucratif,696.5,80 avenue Joséphine-Guillon,01700,01,1,AIN,MIRIBEL,04 78 55 76 20,contact@josephineguillon.fr,Institution Josephine Guillon,
17709,Foyer-Logement de l'Orme,50,Privé commercial,,10 rue de l'Orme,01100,01,1,AIN,OYONNAX,04 74 77 08 79,,Commune d'Oyonnax,http://www.oyonnax.fr/seniors/club-du-3eme-age.html
17715,Foyer-Logement de polliat,30,Public,501.52,367 Route d'Attignat,01310,01,1,AIN,POLLIAT,04 74 30 45 33,,Mairie de Polliat,http://www.polliat.fr
17659,Foyer-Logement les Remparts,20,Public,647,144 Rue Notre Dame des Marais,01120,01,1,AIN,MONTLUEL,04 74 22 40 66,,SEMCODA Bourg En Bresse,http://www.www.semocoda.com
89574,MARPA La Reyssouze,24,Privé non lucratif,1000,45 rue du Grand Pré,01560,01,1,AIN,ST JULIEN SUR REYSSOUZE,04 74 32 63 28,marpalareyssouze@orange.fr,Association de gestion Marpa La Reyssouze,http://marpapuv-ainrhone.fr/
17651,MARPA La Valette,20,Privé non lucratif,822.21,227 route de Montcet,01310,01,1,AIN,MONTRACOL,04 74 24 38 85,marpa.montracol@orange.fr,Association Gest de la Marpa - Montracol,http://www.marpa.fr
17677,MARPA La Verchère,24,Privé non lucratif,967,6 petit chemin des Nivres,01190,01,1,AIN,PONT DE VAUX,09 66 98 84 68,marpa-verchere@orange.fr,Association de Gestion de la Marpa la Vercher,http://www.marpa.fr
17733,MARPA La frérie,19,Privé non lucratif,793,74 Rue de la Frérie,01570,01,1,AIN,MANZIAT,03 85 30 15 47,direction@ajmarpa.fr,Association Maintien Cadre Vie Pa En Perte Aut,https://www.marpa.fr/?id=166&tx_marpa%5BmarpaUid%5D=18&cHash=10f58ee40cf2099cfefc568ac8247b9d
17671,MARPA Le Verger,24,Privé non lucratif,990.6,49 allée du verger,01640,01,1,AIN,ST JEAN LE VIEUX,04 74 36 04 55,marpaleverger@orange.fr,SEMCODA Bourg En Bresse,http://www.marpa.fr
17681,MARPA Nova villa,24,Privé non lucratif,1018.97,275 Rue des Sablonnieres,01400,01,1,AIN,NEUVILLE LES DAMES,04 74 24 70 56,novavilla@orange.fr,Association Gestion Marpa Chalaronnn/Centre,http://www.marpa.fr
17665,MARPA Plain Champ Saint Etienne du Bois,26,Privé non lucratif,1020,707 rue centrale,01370,01,1,AIN,ST ETIENNE DU BOIS,04 74 30 51 08,marpa.plain-champ@wanadoo.fr,Association de Gestion de la Marpa,http://www.marpa.fr
17679,MARPA RPA Le Renon,24,Privé non lucratif,1059,394 le clos des Dombes,01240,01,1,AIN,MARLIEUX,04 74 50 86 57,marpalerenon01@orange.fr,Association Gestion Marpa le Renon,http://marpalerenon.fr
17685,MARPA RPA les Narcisses,24,Privé non lucratif,976.1,65 route de Champdor,01110,01,1,AIN,BRENOD,04 74 38 88 27,marpabrenod@orange.fr,Association de Gestion Marpa de Brenod,http://www.marpa.fr
17675,MARPA Résidence Les carlines,24,Privé non lucratif,1073,220 route des burgondes,01410,01,1,AIN,CHAMPFROMIER,04 50 48 40 87,marpa.lescarlines@gmail.com,Association de Gestion de la Marpa,http://www.marpa.fr
17649,MARPA de Manziat Bage La Ville,9,Privé non lucratif,793,100 Rue de la Mairie,01380,01,1,AIN,BAGE LA VILLE,03 85 30 21 06,direction@ajmarpa.fr,Association Maintien Cadre Vie Pa En Perte Aut,http://www.marpa.fr
17669,MARPA de Replonge,8,Privé non lucratif,793,30 Impasse de la Croix du Creux,01750,01,1,AIN,REPLONGES,03 85 31 80 56,direction@ajmarpa.fr,Association Maintien Cadre Vie Pa En Perte Aut,https://www.marpa.fr/
17687,MARPA de Serrières de Briord,24,Privé non lucratif,1046.4000000000001,9 rue Bugey,01470,01,1,AIN,SERRIERES DE BRIORD,04 74 40 94 40,lejardindescourtanes@hotmail.fr,La Marpa de Serrieres de Briord,http://www.marpa.fr
17689,MARPA de la Veyle,24,Privé non lucratif,919.12,19 allée de la Marpa,01290,01,1,AIN,GRIEGES,03 85 50 84 62,marpagrieges@orange.fr,Association de Gestion,http://www.marpa.fr
17731,MARPA du Dommartin,9,Privé non lucratif,,Le Bourg Dommartin,01380,01,1,AIN,BAGE LA VILLE,03 85 30 20 63,marpa.asso.cantondebage@orange.fr,Association Maintien Cadre Vie PA en perte d'aut,http://www.marpa.fr/index.php?id=166&tx_marpa[marpaUid]=18&cHash=10f58ee40cf2099cfefc568ac8247b9d
99,Maison de retraite Château de Vernange ,70,Privé commercial,3031.5,Route de Monthieux,01390,01,1,AIN,ST ANDRE DE CORCY,04 72 26 16 16,contact@chateau-de-vernange.com,M.R. Vernange St Andre-De-Corcy,http://www.chateau-de-venange.com
107,Maison de retraite les Cyclamens Challex,80,Privé commercial,3064.7999999999997,554 Rue de la Treille,01630,01,1,AIN,CHALLEX,04 50 56 46 50,cyclamens-challex@domusvi.com,Domus Vivendi Hauts-De-Seine,http://www.cyclamenschallex.com/
73480,PUV Les Berges du Lion,15,Privé non lucratif,1225,155 rue des Berges du Lion,01210,01,1,AIN,ORNEX,04 50 41 93 05,puv@bergesdulion.eu,Association Les Berges du Lion,http://www.bergesdulion.eu/
17673,PUV Petite Unité de Vie La Cité des Séniors,26,Privé non lucratif,498,260 rue de la barre,01440,01,1,AIN,VIRIAT,04 74 25 08 11,lacitedesseniors@orange.fr,Association de Gestion de la Puv,http://www.marpa.fr
73477,Petite Unité de Vie Dallex Allombert,22,Public,918.54,2 route de la Forge,01100,01,1,AIN,BELLIGNAT,04 74 73 92 37,susana.dogdanovit@bellignat.fr,Commune de Bellignat,http://www.bellignat.fr/www-liste_afnors-AMACPE[AMACPO-231-FR-VIVRE.html
73482,Petite Unité de Vie La Chènevière,24,Privé non lucratif,997.29,250 Rue Prevert,01000,01,1,AIN,ST DENIS LES BOURG,04 74 21 31 73,puv01000@gmail.com,Association de Gestion PUV Saint-Denis-les-Bourg,http://www.stdenislesbourg.fr/Petite-Unite-de-Vie.html
73481,Petite Unité de Vie Les Charmilles,24,Privé non lucratif,490,130 rue Jean-Monnet,01960,01,1,AIN,PERONNAS,04 74 32 92 00,lescharmilles@peronnas.com,Association de Gestion de la PUV,
105,Résidence Claires Fontaines,53,Public,1667.1,Rue Charles de Gaulle ESPACE CHARLES DE GAULLE,01150,01,1,AIN,ST VULBAS,04 74 61 53 33,mapastvulbas@clairesfontaines.fr,Résidence Claires Fontaines,http://www.clairesfontaines.fr
17713,Résidence Foyer soleil,30,Public,419.5,210 Rue En Ponsard,01851,01,1,AIN,MARBOZ,04 74 51 03 80,,Centre communal d'action sociale (CCAS),http://www.marboz.fr
17657,Résidence Grande Terre Beynost,19,Public,,520 rue de Thermes,01700,01,1,AIN,BEYNOST,04 78 55 83 40,accueil@ville-beynost.fr,Centre Communal d'Action Sociale – CCAS,
17723,Résidence Gustave Monnet,27,Public,431.73,8 Rue Rabelais,01000,01,1,AIN,BOURG EN BRESSE,04 74 42 45 70,polepreventionseniors@bourgenbresse.fr,Commune de Bourg-en-Bresse,http://www.mairie@bourgenbresse.fr
17691,Résidence Henri Dunant,54,Privé non lucratif,568,119 rue des Fontanettes,01110,01,1,AIN,HAUTEVILLE LOMPNES,04 74 40 43 00,RESA@crf-angeville.com,Croix-Rouge française,http://www.croix-rouge.fr
122,Résidence Korian Les Fauvettes,61,Privé commercial,3018.8999999999996,177 Avenue Gilbert Sardier,01330,01,1,AIN,VILLARS LES DOMBES,04 74 98 30 30,louise.lambert@korian.fr,Groupe Korian,http://www.korian.fr/maison-retraite/ehpad-korian-les-fauvettes-villars-les-dombes-01330/
17705,Résidence La Roseraie,32,Privé non lucratif,652,7 Avenue de la Gare,01700,01,1,AIN,ST MAURICE DE BEYNOST,04 78 55 17 87,secretariat@assolaroseraie.fr,Association pour la gestion de la résidence,https://www.saint-maurice-de-beynost.fr/vie-associative/vie-associative/161-residence-autonomie-la-roseraie
17661,Résidence Les Fontaines d'Or,15,Public,,9 place des Fontaines d'Or,01150,01,1,AIN,LAGNIEU,04 74 40 19 79,,CCAS Lagnieu,
17711,Résidence Les Frachets,42,Public,,440 route de fay,01660,01,1,AIN,MEZERIAT,04 74 55 89 02,residence-des-frachets@orange.fr,Association Comite de Gestion Mezeriat,
17701,Résidence Les Saints Anges,12,Public,200.06,50 rue Alexandre-Reverchon,01170,01,1,AIN,GEX,04 50 42 63 01,ccas@ville-gex.fr,Centre Communal d'Action Sociale – CCAS,
17725,Résidence Les Tilleuls,67,Privé commercial,,20 rue des hautains,01630,01,1,AIN,ST GENIS POUILLY,    ,,SEMCODA Bourg En Bresse,
17697,Résidence Les mousserons,35,Public,268.14,1 Rue de Mousseron,01370,01,1,AIN,TREFFORT CUISIAT,04 74 51 32 96,foyerdesmousserons@val-revermont.fr,Commune de Val-Revermont,http://www.val-revermont.fr
17727,Résidence Les pragnières,24,Public,,55 rue des écoles,01580,01,1,AIN,IZERNORE,04 74 76 99 11,mairie@izernore.fr,CCAS - Izernore,http://www.izernore.fr
91348,Résidence Les écureuils,15,Public,501,85 Avenue Charles de Gaulle,01800,01,1,AIN,VILLIEU LOYES MOLLON,04 74 34 99 56,mairie@mairievlm.fr,CCAS,https://www.mairievlm.fr/foyers-logements.php
17719,Résidence autonomie Jean Bollard,14,Public,321.22000000000003,10 Place Alexandre Dumas,01000,01,1,AIN,BOURG EN BRESSE,04 74 42 45 70,polepreventionseniors@bourgenbresse.fr,Commune de Bourg En Bresse,
17721,Résidence autonomie Les blés d'or,41,Privé non lucratif,524.94000000000005,171 Rue du Docteur Temporal,01230,01,1,AIN,ST RAMBERT EN BUGEY,04 74 36 25 00,direction-bles-dor@groupe-sos.org,Groupe SOS Séniors,http://www.groupe-sos.org/structures/1233/R_sidence_autonomie_Les_Bl_s_d_Or
17693,Résidence autonomie Les marronniers,48,Privé non lucratif,1070.05,Rue de la Mairie,01480,01,1,AIN,JASSANS RIOTTIER,04 74 60 91 09,lesmarronniers@acppa.fr,ACPPA,http://residenceautonomie-lesmarronniers.groupe-acppa.fr/
121,USLD Centre hospitalier d'Oyonnax,0,Public,,1 rue Bellevue,01100,01,1,AIN,OYONNAX,04 74 73 10 01,secretariatdir@ch-hautbugey.fr,CH du Haut Bugey,
